user_played, instrument_name, velocity, pitch, start (s), end (s)
True,violin,113,67,2.0,2.1666666666666665
True,violin,113,59,2.0,2.1666666666666665
True,violin,113,62,2.0,2.1666666666666665
False,piano,119,35,2.0,2.25
False,piano,113,46,2.0,2.375
True,violin,107,62,2.1666666666666665,2.3333333333333335
True,violin,89,67,2.1666666666666665,2.3333333333333335
True,violin,93,59,2.1666666666666665,2.3333333333333335
True,violin,107,62,2.3333333333333335,2.5
True,violin,93,59,2.3333333333333335,2.5
True,violin,85,67,2.3333333333333335,2.5
True,violin,89,67,2.5,2.6666666666666665
True,violin,93,59,2.5,2.6666666666666665
True,violin,107,62,2.5,2.6666666666666665
False,piano,64,42,2.5,2.6145833333333335
False,piano,119,39,2.5,2.65
True,violin,89,59,2.6666666666666665,2.8333333333333335
True,violin,102,62,2.6666666666666665,2.8333333333333335
True,violin,72,67,2.6666666666666665,2.8333333333333335
True,violin,93,62,2.8333333333333335,3.0
True,violin,94,67,2.8333333333333335,3.0
True,violin,93,59,2.8333333333333335,3.0
False,piano,76,46,2.8333333333333335,2.93125
True,violin,107,59,3.0,3.1666666666666665
True,violin,102,62,3.0,3.1666666666666665
True,violin,102,67,3.0,3.1666666666666665
False,piano,102,46,3.0,3.285416666666667
False,flute,121,86,3.3333333333333335,3.4166666666666665
False,flute,127,91,3.5,3.7916666666666665
False,piano,113,42,3.5,3.6083333333333334
False,piano,113,39,3.5,3.6666666666666665
False,flute,127,88,3.8333333333333335,4.0
False,piano,107,46,3.8333333333333335,3.9
False,piano,113,35,3.8333333333333335,3.90625
False,piano,119,35,4.0,4.295833333333333
False,piano,107,46,4.0,4.30625
True,violin,98,69,4.5,4.666666666666667
True,violin,107,64,4.5,4.666666666666667
True,violin,107,60,4.5,4.666666666666667
False,piano,107,42,4.5,4.604166666666667
False,piano,113,39,4.5,4.65
True,violin,60,60,4.666666666666667,4.833333333333333
True,violin,72,69,4.666666666666667,4.833333333333333
True,violin,85,64,4.666666666666667,4.833333333333333
True,violin,72,69,4.833333333333333,5.0
True,violin,68,60,4.833333333333333,5.0
True,violin,72,64,4.833333333333333,5.0
False,piano,107,46,4.833333333333333,4.90625
True,violin,93,71,5.0,5.166666666666667
True,violin,76,62,5.0,5.166666666666667
True,violin,89,66,5.0,5.166666666666667
False,piano,107,46,5.0,5.25
True,violin,89,62,5.166666666666667,5.333333333333333
True,violin,98,71,5.166666666666667,5.333333333333333
True,violin,85,66,5.166666666666667,5.333333333333333
True,violin,85,62,5.333333333333333,5.5
True,violin,89,71,5.333333333333333,5.5
True,violin,80,66,5.333333333333333,5.5
True,violin,93,71,5.5,5.666666666666667
True,violin,89,66,5.5,5.666666666666667
True,violin,93,62,5.5,5.666666666666667
False,piano,102,42,5.5,5.597916666666666
False,piano,113,39,5.5,5.639583333333333
True,violin,93,62,5.666666666666667,5.833333333333333
True,violin,93,66,5.666666666666667,5.833333333333333
